,creole,english
1,"montré, mont","['teach', ' show']"
2,(la)mòr,['death']
3,mòr,['dead']
4,mòrd,"['bite', ' sting']"
5,mòrso,['little piece']
6,moun,['person']
7,mouri,['die']
8,(dé)moush,['fly']
9,moush-a-myèl,['honeybee']
10,moustash,['mustache']
11,(la)moutard,['mustard']
12,mouton,['sheep']
13,"mouyé, mouy","['wet', ' rain']"
14,mové,['bad']
15,mòyær,"['way (of doing)', ' kinda']"
16,mwins,['less']
17,myé,['better']
0,mari,['husband']
1,maringwin,['mosquito']
2,"mariyé, mari",['marry']
3,maron,['brown']
4,mars,['March']
5,"marshé, marsh",['walk']
6,maryaj,['marriage']
7,mashinn,"['machine', ' motor']"
8,mayi,['corn']
9,mé,['May']
10,mé,['but']
11,médsinn,['medicine']
12,"mèlé, mèl",['mix']
13,méli-mélanj,['mix']
14,"ménajé, ménaj","['use sparingly', ' economize']"
15,"ménné, mènn","['bring', ' haul']"
16,ménné/fé lembara,['cause trouble']
17,"menti, men",['lie']
18,Mérikin,"['American', ' English language']"
19,(la)mès,"['church', ' mass']"
20,mèsi,['interjthanks']
21,mèt,"['put', ' put on']"
22,mèt-(d)-lékol/mèt,['nphrteacher (male)']
23,métrès,['nphrteacher (female)']
24,méyœr,"['better', ' best']"
0,"najé, naj",['swim']
1,namm,['soul']
2,nanglé,['English language']
3,napa,['bait']
4,narb,['tree']
5,natirèl,['natural']
6,né,['born']
7,"nèf, nœf",['nine']
8,(la)nèj,['snow']
9,"néjé, nèj",['snow']
10,népi-mayi,['nphrear of corn']
11,"nètwayé, nètwa",['clean']
12,névé,['nephew']
13,nidé,"['idea', ' mind', ' thought']"
14,nik,['nest']
15,nimpòrt (ki),"['any', ' whatever', ' whichever']"
16,nimpòrt éyou,['nphranywhere']
17,nimpòrt ki moun,['nphranybody']
18,nimpòrt ki plas,['nphranywhere']
19,nimpòrt ki zafær,['nphranything']
20,nimpòrt kishòj,['nphranything']
21,nivo,['level']
22,nô,['detour']
23,"no, nouzòt",['prowe (subject)']
24,nom,['name']
0,nom-d-famiy,['surname']
1,nom-d-maryaj,['married name']
2,non,['interjno']
3,non pli,"['anymore', ' either']"
4,nonk,['uncle']
5,nonm,['man']
6,nòr,['north']
7,nora,['there will be']
8,nòtis,['sign']
9,"nou, nouzòt",['prous (object)']
10,Nouvèl-Òrléan,['New Orleans']
11,nouvo,['new']
12,novemb,['November']
13,nwa,['nut']
14,nwaj,['cloud']
15,nwar,['black']
16,"nwayé, nway",['drown']
17,Nwèl,['Christmas']
18,(la)nwit,['night']
19,nyès,['niece']
0,nom-d-famiy,['surname']
1,nom-d-maryaj,['married name']
2,non,['interjno']
3,non pli,"['anymore', ' either']"
4,nonk,['uncle']
5,nonm,['man']
6,nòr,['north']
7,nora,['there will be']
8,nòtis,['sign']
9,"nou, nouzòt",['prous (object)']
10,Nouvèl-Òrléan,['New Orleans']
11,nouvo,['new']
12,novemb,['November']
13,nwa,['nut']
14,nwaj,['cloud']
15,nwar,['black']
16,"nwayé, nway",['drown']
17,Nwèl,['Christmas']
18,(la)nwit,['night']
19,nyès,['niece']
0,obòr isit,['around here']
1,ofon,['the bottom']
2,okipé,['busy']
3,oktòb,['October']
4,olé,['want']
5,(l)ombraj,['shade']
6,omwin,['at least']
7,onz,['eleven']
8,opré,['nearby']
9,ora,"['near', ' around']"
10,orévwar,['interjgoodbye']
11,osi…ke,['adjphras…as']
12,osike,['advphras soon as']
13,osit,"['also', ' too']"
14,"oté, ot","['take off', ' remove']"
15,ou,['or']
16,ouvraj,['work']
17,"ouvri, ouvær",['open']
18,Ozilinwa,['Illinois']
0,pa,"['negative marker', ' not']"
1,pa ditou,['not at all']
2,pa enkòr,['not yet']
3,pa gran-shòj,['not much']
4,pa nil-plas,['nowhere']
5,pa-d-kwa,"[""phryou're welcome""]"
6,padna,['friend']
7,pær,['father']
8,pærd,['lose']
9,pærdi,['lost']
10,(pa) pærsonn,['no one']
11,Pak,['Easter']
12,pakònn,['pecan']
13,pantalon,['pants']
14,par ègzamp,['expfor example']
15,paradi,['heaven']
16,"pardonné, pardonn",['forgive']
17,paré,['ready']
18,paren,"['parent', ' relative']"
19,parésé,['lazy']
20,paréy,"['same', ' similar']"
21,parin,['godfather']
22,"parlé, parl",['speak']
23,paròl,['word']
24,parske,['because']
0,"partajé, partaj",['share']
1,"parti, par",['leave']
2,pasé,['ago']
3,"pasé, pas","['pass', ' pass away']"
4,(la)pat,"['paw', ' leg or foot (of animal)']"
5,patasa,['sunfish']
6,patat,"['potato', ' sweet potato']"
7,patat dous,['sweet potato']
8,"patouyé, patouy",['splash around']
9,pay,['pie']
10,(la)pay,"['straw', ' husk']"
11,pe,"['able to', ' can']"
12,pé,"['shut up', ' quiet']"
13,"pèlé, pèl","['call', ' be named (reflexive)']"
14,pélikan,['pelican']
15,pendan,"['during', ' while']"
16,penn,['hang']
17,"pensé, pens",['think']
18,"pèshé, pèsh","['prevent', ' fish', ' sin']"
19,péshœr,"['fisher', ' sinner']"
20,petèt,['maybe']
21,"péyé, péy",['pay']
22,péyi,"['country', ' nation']"
23,pi,['then']
24,pikan,"['sticker', ' thorn']"
0,pimen,['pepper (vegetable)']
1,pimenté,"['spice', ' spicy', ' spiced']"
2,pipi,['pee']
3,piti,['child']
4,piti,"['small', ' little']"
5,pla,"['plate', ' dish (of food)']"
6,plakminn,['persimmon']
7,planshé,['floor']
8,plant,['plant']
9,"planté, plant",['plant']
10,plas,"['place', ' space']"
11,play,['beach']
12,plènn,['plain']
13,pléri,['prairie']
14,plézir,['pleasure']
15,(la)pli,['rain']
16,pli…ke,['adjphrmore…than']
17,pli(s),['more']
18,plin,"['full', ' a lot']"
19,plizyær,['many']
20,(la)plòt,['ball']
21,(la)po,['skin']
22,pœr,"['fear', ' afraid']"
23,pokapok,['so-so']
24,polis,['police']
0,popa,['dad']
1,pòrt,['door']
2,"pòrté, pòrt","['bring', ' wear']"
3,pòrtré,"['picture', ' photo', ' movie']"
4,pou,"['for', ' about', ' to']"
5,pou sûr,"['advphrfor sure', ' definitely']"
6,(la)poud,"['powder', ' dust', ' gunpowder']"
7,poul,"['chicken', ' hen']"
8,poulayé,['henhouse']
9,"pousé, pous","['push', ' grow']"
10,(la)pousyær,['dust']
11,"(ré)pozé, poz","['rest', ' relax (sometimes reflexive)']"
12,pré,"['near', ' close']"
13,prèmyé,['first']
14,prenn,['take']
15,prèsk,['almost']
16,printem,['spring']
17,"priyé, priy",['pray']
18,prizon,['prison']
19,promèt,['promise']
20,pròsh,"['near', ' nearly', ' almost']"
21,proshin,['next']
22,"protéjé, protèj",['protect']
23,pur,['pure']
24,(dé)pwa,['green peas']
0,(la)pwal,['frying pan']
1,(dé)pwar,['pear']
2,pwason,['fish']
3,pwason-armé,['gar (fish)']
4,pyas,['dollar']
5,pyé,['foot']
6,"pyoshé, pyòsh","['hoe', ' dig']"
0,"partajé, partaj",['share']
1,"parti, par",['leave']
2,pasé,['ago']
3,"pasé, pas","['pass', ' pass away']"
4,(la)pat,"['paw', ' leg or foot (of animal)']"
5,patasa,['sunfish']
6,patat,"['potato', ' sweet potato']"
7,patat dous,['sweet potato']
8,"patouyé, patouy",['splash around']
9,pay,['pie']
10,(la)pay,"['straw', ' husk']"
11,pe,"['able to', ' can']"
12,pé,"['shut up', ' quiet']"
13,"pèlé, pèl","['call', ' be named (reflexive)']"
14,pélikan,['pelican']
15,pendan,"['during', ' while']"
16,penn,['hang']
17,"pensé, pens",['think']
18,"pèshé, pèsh","['prevent', ' fish', ' sin']"
19,péshœr,"['fisher', ' sinner']"
20,petèt,['maybe']
21,"péyé, péy",['pay']
22,péyi,"['country', ' nation']"
23,pi,['then']
24,pikan,"['sticker', ' thorn']"
0,ra,['rat']
1,ra-d-bwa,['possum']
2,"ramasé, ramas","['gather', ' pick up', ' collect']"
3,"ranjé, ranj","['fix', ' repair', ' arrange', ' prepare']"
4,"raplé, rapèl",['remember']
5,rar,['rare']
6,(la)ras,['race']
7,ravé,['cockroach']
8,rékòlt,"['harvest', ' crop']"
9,rémèd,"['remedy', ' medicine']"
10,"rentré, rent","['enter', ' return', ' come home']"
11,réponn,"['answer', ' respond']"
12,répons,"['répozé, répozpozé, poz']"
13,"rèshté, rèshèt","['vomit', ' throw up']"
14,rèspé,['respect']
15,"rèspèkté, rèspèk",['respect']
16,"rèsté, rès","['stay', ' remain', ' habitate', ' live', ' dwell']"
17,rèv,['dream']
18,"rèvé, rèv",['dream']
19,(la)rimm,"['cold (sickness)', ' flu']"
20,(la)rivyær,['river']
21,ròb,['dress']
22,"rodayé, roday","['travel on the road', ' roam', ' gallivant']"
23,rodayœr,['traveller']
0,roti,"['roast', ' grill']"
1,rouyé,"['rusted', ' rusty']"
2,roz,['pink']
3,(la)rozé,['dew']
0,roti,"['roast', ' grill']"
1,rouyé,"['rusted', ' rusty']"
2,roz,['pink']
3,(la)rozé,['dew']
0,sa,"['future marker', ' will be']"
1,særmen,"['swear', ' promise']"
2,"særvi, sær",['use']
3,"safré, saf","['eat (of animals)', ' eat like an animal (of humans)']"
4,(la)sal,['room']
5,sal,['dirty']
6,sal-a-manjé,['dining room']
7,(la)salad,['salad']
8,salé,"['salt', ' salted']"
9,sali,['get dirty']
10,salon,['living room']
11,Sammdi Sin,['nphrHoly Saturday']
12,san,['without']
13,sanmdi,['Saturday']
14,sasafra,['sassafras']
15,sé,"['conditional marker', ' would be']"
16,sèk,['dry']
17,senm,"['seem', ' appear', ' look like']"
18,"senti, sen","['feel (reflexive)', ' smell']"
19,sèptemb,['September']
20,sèt,['seven']
21,"séyé, séy",['try']
22,sèz,['sixteen']
23,(la)sézon,['season']
24,"sézonné, sézonn","['season', ' seasoned']"
0,shær,"['expensive', ' dear']"
1,shagrin,"['sorry', ' sad']"
2,shak,"['each', ' every']"
3,shandèl,['candle']
4,"shanjé, shanj",['change']
5,shanm,"['room', ' bedroom']"
6,shanm-a-bin,['bathroom']
7,shanm-a-koushé,['bedroom']
8,(la)shans,"['luck', ' chance']"
9,shanson,['song']
10,"shanté, shant",['sing']
11,"shapé, shap","['escape', ' get away']"
12,shapo,['hat']
13,shar,['car']
14,"sharé, shar",['chat']
15,"sharshé, sharsh","['seek', ' look for']"
16,"shasé, shas",['hunt']
17,shawi,['raccoon']
18,shé,['at the home of']
19,shévé,['hair']
20,shevrèt,['shrimp']
21,shèvréy,['deer']
22,"shiké, shik",['chew']
23,shimij,['shirt']
24,"shiyé, shiy",['shit']
0,shmin,"['road', ' path']"
1,sho,['hot']
2,shodyær,"['pot', ' pan']"
3,shoké,"['mad', ' angry']"
4,(dé)shou,['cabbage']
5,shval,['horse']
6,shyin,['dog']
7,si,"['if', ' so']"
8,si tèlmen,"['so (to emphasize an adjective)', ' so much', ' so many']"
9,sid,['south']
10,sidès,['southeast']
11,"siflé, sif",['whistle']
12,siñ,['sign']
13,singgo,['nap']
14,sinkant,['fifty']
15,sinkant-é-ènn,['fifty-one']
16,"sinmé, sinm",['sow']
17,sipozé (pou),['supposed to']
18,"sipozé, sipòz",['suppose']
19,sipré,['Eastern red cedar']
20,sipriyær,"['swamp', ' cypress swamp']"
21,sirkonflèks,['circumflex (accent mark)']
22,siro,"['syrup', ' womanizer']"
23,sis,['six']
24,"sisé, sis",['suck']
0,"sitoplé, sivouplé",['interjplease']
1,smat,['smart']
2,(la)smènn,['week']
3,so,['interjso (discourse particle)']
4,sô,"['dethis', ' her', ' its']"
5,sœl,['alone']
6,sœr,['sister']
7,sofa,"['sofa', ' couch']"
8,sol,['willow tree']
9,soléy,['sun']
10,soléy-koushé,['sunset']
11,soléy-lévé,['sunrise']
12,sòrti salé,['turn out bad']
13,"sòrti, sòr","['be from (somewhere)', ' go out', ' end up']"
14,(la)sòs,['sauce']
15,sosis,['sausage']
16,sòt,['foolish']
17,sou,['cent']
18,"souflé, souf","['blow (of wind)', ' breathe']"
19,soulyé,['shoes']
20,(la)soup,['soup']
21,soupé,['supper']
22,soutærin,['basement']
23,souven,['often']
24,"sové, sov",['save']
0,spañol,['Spanish']
1,Spañol,['Spaniard']
2,"spéré, èspær",['wait']
3,spìnn,['spin records']
4,stìl,['still']
5,sto,['store']
6,stov,['stove']
7,supærb,"['super', ' wonderful']"
8,sur,['on']
9,sûr,"['sure', ' certain']"
10,surtou,['especially']
11,swaf,['thirsty']
12,swaré,"['evening', ' eveningtime']"
13,swasant,['sixty']
14,swasant-dis,['seventy']
15,swasant-é-ènn,['sixty-one']
16,swasant-onz,['seventy-one']
17,"swaté, swat","['hope', ' wish']"
18,swé,['sweat']
19,swiv,['follow']
20,"swonñé, swonñ","['care for', ' nurse']"
21,syèl,"['sky', ' heaven']"
0,shær,"['expensive', ' dear']"
1,shagrin,"['sorry', ' sad']"
2,shak,"['each', ' every']"
3,shandèl,['candle']
4,"shanjé, shanj",['change']
5,shanm,"['room', ' bedroom']"
6,shanm-a-bin,['bathroom']
7,shanm-a-koushé,['bedroom']
8,(la)shans,"['luck', ' chance']"
9,shanson,['song']
10,"shanté, shant",['sing']
11,"shapé, shap","['escape', ' get away']"
12,shapo,['hat']
13,shar,['car']
14,"sharé, shar",['chat']
15,"sharshé, sharsh","['seek', ' look for']"
16,"shasé, shas",['hunt']
17,shawi,['raccoon']
18,shé,['at the home of']
19,shévé,['hair']
20,shevrèt,['shrimp']
21,shèvréy,['deer']
22,"shiké, shik",['chew']
23,shimij,['shirt']
24,"shiyé, shiy",['shit']
0,(la)tab,['table']
1,taba,['tobacco']
2,(la)tær,"['earth', ' ground', ' dirt']"
3,taktak,['popcorn']
4,talœr,['soon']
5,tambou,['drum']
6,tan,"['so many', ' so']"
7,tandi,['while']
8,tanpri,['interjplease']
9,tant,['aunt']
10,tar,['late']
11,tas,['cup']
12,"tayé, tay",['beat']
13,té,"['past marker', ' was']"
14,Tèksas,['Texas']
15,tèl,['such']
16,tèl-é-tèl,['nphrsuch and such']
17,tem,"['weather', ' time']"
18,tem-zen-tem,"['now and then', ' occasionally']"
19,"tendé, tenn",['hear']
20,(la)tèt,['head']
21,ti,"['small', ' little']"
22,ti brin,['nphra little']
23,ti-bétay,"['nphrinsect', ' bug']"
24,ti-fiy,['granddaughter']
0,ti-garçon,['grandson']
1,ti-nom,['nickname']
2,"ti-zenfan, ti-piti",['grandchild']
3,tig,['tiger']
4,tikèt,['ticket']
5,tiyon,"['headscarf', ' tignon']"
6,(la)tizann,['herbal tea']
7,to,['proyou (subject)']
8,tô,['detyour (singular)']
9,tomat,['tomato']
10,"tombé, tomb",['fall']
11,tònær,['thunder']
12,"tòrné, tòrn",['turn']
13,tou,['all']
14,tou alentour,['all around']
15,Tou-Sin,['nphrAll Saints Day']
16,toujou,"['always', ' still']"
17,toukèkunn,"['nphreveryone', ' everybody']"
18,toukishòj,['everything']
19,toulajourné,['all day long']
20,toulédé,['both']
21,touléjour,['every day']
22,toultem,"['forever', ' always']"
23,toumoun,['nphreveryone']
24,tous,['cough']
0,"tousé, tous",['cough']
1,tousœl,['all alone']
2,traka,"['problem', ' trouble']"
3,"trakasé, trakas",['worry']
4,trankil,"['peaceful', ' quiet', ' calm']"
5,"trapé, trap","['get', ' catch', ' trap']"
6,travay,['work']
7,"travayé, travay",['work']
8,"trènné, trènn","['trail', ' drag']"
9,trent,['thirty']
10,trent-é-ènn,['thirty-one']
11,trèz,['thirteen']
12,trézòr,['treasure']
13,trin,"['noise', ' train']"
14,tris,['sad']
15,tro,['too']
16,trò,['three']
17,tro bokou,"['nphrtoo many', ' too much']"
18,tròk,['truck']
19,tròs,['trust']
20,twa,['roof']
21,twa,['proyou (object)']
22,twalèt,['dresser']
0,ti-garçon,['grandson']
1,ti-nom,['nickname']
2,"ti-zenfan, ti-piti",['grandchild']
3,tig,['tiger']
4,tikèt,['ticket']
5,tiyon,"['headscarf', ' tignon']"
6,(la)tizann,['herbal tea']
7,to,['proyou (subject)']
8,tô,['detyour (singular)']
9,tomat,['tomato']
10,"tombé, tomb",['fall']
11,tònær,['thunder']
12,"tòrné, tòrn",['turn']
13,tou,['all']
14,tou alentour,['all around']
15,Tou-Sin,['nphrAll Saints Day']
16,toujou,"['always', ' still']"
17,toukèkunn,"['nphreveryone', ' everybody']"
18,toukishòj,['everything']
19,toulajourné,['all day long']
20,toulédé,['both']
21,touléjour,['every day']
22,toultem,"['forever', ' always']"
23,toumoun,['nphreveryone']
24,tous,['cough']
0,va,"['future marker (see Grammar Sketch)', ' will']"
1,(dé)vær,['worm']
2,vær,"['glass', ' glass (for drinking)']"
3,vær,['green']
4,vash,['cow']
5,vayan,"['great', ' excellent', ' nice']"
6,ve,['want']
7,vendrédi,['Friday']
8,Vendrédi Sin,['nphrGood Friday']
9,venn,['sell']
10,vent,"['stomach', ' belly']"
11,(la)vésèl,['dishes']
12,(la)vi,['life']
13,vid,['empty']
14,vidyo,['video']
15,(la)vil,['city']
16,vilaj,['town']
17,vilin,"['mean', ' nasty', ' ugly']"
18,vin,['twenty']
19,vin-dé,['twenty-two']
20,vinég,['vinegar']
21,"vini, vyin","['come', ' become']"
22,vint-é-ènn,['twenty-one']
23,vit,"['fast', ' quickly']"
24,viv,"['live', ' dwell']"
0,vivan,"['living', ' alive']"
1,"vizité, vizit",['visit (person or place)']
2,vo,['worth']
3,vô,['detyour (polite)']
4,vo myé,"['prefer', ' would be better']"
5,"volé, vòl","['fly', ' steal']"
6,vomi,['vomit']
7,vou,['vouzòtzòt']
8,"voyé, vòy","['send', ' throw']"
9,vré,['true']
10,(la)vwa,['voice']
11,vwala,['interjvoilà']
12,vwayaj,"['voyage', ' trip']"
13,"vwayajé, vwayaj",['travel']
14,vwazin,['neighbor (male or female)']
15,vwazinaj,"['neighborhood', ' vicinity']"
16,vwazinn,['neighbor (female)']
17,(la)vyann,['meat']
18,vyé,['old']
19,vyolèt,"['violet (flower)', ' violet (color)']"
0,vivan,"['living', ' alive']"
1,"vizité, vizit",['visit (person or place)']
2,vo,['worth']
3,vô,['detyour (polite)']
4,vo myé,"['prefer', ' would be better']"
5,"volé, vòl","['fly', ' steal']"
6,vomi,['vomit']
7,vou,['vouzòtzòt']
8,"voyé, vòy","['send', ' throw']"
9,vré,['true']
10,(la)vwa,['voice']
11,vwala,['interjvoilà']
12,vwayaj,"['voyage', ' trip']"
13,"vwayajé, vwayaj",['travel']
14,vwazin,['neighbor (male or female)']
15,vwazinaj,"['neighborhood', ' vicinity']"
16,vwazinn,['neighbor (female)']
17,(la)vyann,['meat']
18,vyé,['old']
19,vyolèt,"['violet (flower)', ' violet (color)']"
0,war,['see']
1,wawaron,['bullfrog']
2,wèl,['interjwell (discourse particle)']
3,wès,['west']
4,wi,['interjyes']
5,wiski,['whiskey']
6,wit,['eight']
0,yær,['yesterday']
1,yé,['prothey (subject and object)']
2,yê,"['be (interrogative)', ' be (relative)']"
3,yê,['dettheir']
4,-yé,['detplural marker']
5,yéyay!,"['interjyeyaille!', ' wow!']"
0,zærb,['grass']
1,zafær,['zanan']
2,zariko,"['beans', ' zydeco']"
3,zartik,['article']
4,zaryin,['spider']
5,(dé)zèf,['egg']
6,zégré,['egret']
7,zéklær,['lightning']
8,zen (dê),['adjphrsome']
9,zépol,['shoulder']
10,zétaj,['floor (of a building)']
11,zindyin,['Indian (Native American)']
12,(dé)zo,['bone']
13,zœr,"['hour', "" o'clock""]"
14,zònyon,['onion']
15,zoranj,"['orange (fruit)', ' orange (color)']"
16,zòrèy,['ear']
17,zòrtèy,['toe']
18,(vou)zòt,['proyou (plural) (subject and object)']
19,(dé)zòt,['others']
20,zouti,['tool']
21,(dé)zwa,['goose']
22,zwazo,['bird']
0,(dé)zwit,['oyster']
1,zyé,['eye']
0,(dé)zwit,['oyster']
1,zyé,['eye']
